target,noise_std,n_train,model,train_mse,test_mse
sin_pi_x,0.0,2,constant,0.2550036011380976,0.7467149602039956
sin_pi_x,0.0,2,linear,1.3310083583179953e-31,2.003380021233767
sin_pi_x,0.0,2,origin,0.06929380259348673,0.49399439352191543
sin_pi_x,0.0,3,constant,0.32652809608874783,0.6749574490750356
sin_pi_x,0.0,3,linear,0.04834608010323025,0.8898555599489371
sin_pi_x,0.0,3,origin,0.10388433827994441,0.37601832551824704
sin_pi_x,0.0,5,constant,0.40728653667650055,0.5956279395607473
sin_pi_x,0.0,5,linear,0.09610771876138403,0.4172714793216929
sin_pi_x,0.0,5,origin,0.14389118731211892,0.28436835227038976
sin_pi_x,0.0,10,constant,0.44612249599242726,0.552571303555695
sin_pi_x,0.0,10,linear,0.15509069779088952,0.25173367240707784
sin_pi_x,0.0,10,origin,0.17090726030708778,0.23392454819203112
sin_pi_x,0.0,20,constant,0.471899828390346,0.524719166339936
sin_pi_x,0.0,20,linear,0.17580179859869885,0.22025703954275372
sin_pi_x,0.0,20,origin,0.18250314328646722,0.21032443563861045
sin_pi_x,0.0,50,constant,0.48961160635799794,0.5092991383149061
sin_pi_x,0.0,50,linear,0.18721633745282262,0.2058268462837926
sin_pi_x,0.0,50,origin,0.19088788522643668,0.20151078879984044
sin_pi_x,0.0,100,constant,0.493182130357009,0.5055182304411097
sin_pi_x,0.0,100,linear,0.19023440289570778,0.20039146410409653
sin_pi_x,0.0,100,origin,0.19456527589329028,0.19836605842234478
sin_pi_x,0.0,200,constant,0.4974909647400514,0.5026697603610475
sin_pi_x,0.0,200,linear,0.19395751445810508,0.19827589911672786
sin_pi_x,0.0,200,origin,0.19454090911668268,0.19738628556855087
sin_pi_x,0.3,2,constant,0.29673326899425345,0.8787604764608397
sin_pi_x,0.3,2,linear,1.092488617858004e-29,160.80462586152976
sin_pi_x,0.3,2,origin,0.11402129240934013,0.6618881987702655
sin_pi_x,0.3,3,constant,0.3844329257146037,0.7837701386364088
sin_pi_x,0.3,3,linear,0.07830344719311819,1.136359892587541
sin_pi_x,0.3,3,origin,0.15609956482843262,0.5215360759951583
sin_pi_x,0.3,5,constant,0.4882194621163919,0.7028949818493866
